Datetime,open,high,low,close
2021.04.07 08:04,1.188550,1.188560,1.188420,1.188420
2021.04.07 08:05,1.188430,1.188460,1.188370,1.188400
2021.04.07 08:06,1.188400,1.188460,1.188320,1.188390
2021.04.07 08:07,1.188400,1.188400,1.188240,1.188270
2021.04.07 08:08,1.188270,1.188290,1.188180,1.188270
2021.04.07 08:09,1.188280,1.188370,1.188280,1.188320
2021.04.07 08:10,1.188340,1.188470,1.188290,1.188380
2021.04.07 08:11,1.188370,1.188450,1.188320,1.188380
2021.04.07 08:12,1.188390,1.188510,1.188340,1.188490
2021.04.07 08:13,1.188470,1.188560,1.188400,1.188520
2021.04.07 08:14,1.188540,1.188560,1.188380,1.188380
2021.04.07 08:15,1.188400,1.188410,1.188160,1.188160
2021.04.07 08:16,1.188160,1.188160,1.187900,1.187950
2021.04.07 08:17,1.187950,1.188020,1.187930,1.187970
2021.04.07 08:18,1.187980,1.187990,1.187810,1.187910
2021.04.07 08:19,1.187920,1.188160,1.187810,1.188160
2021.04.07 08:20,1.188190,1.188220,1.188010,1.188010
2021.04.07 08:21,1.187990,1.188120,1.187790,1.188010
2021.04.07 08:22,1.188010,1.188010,1.187800,1.187850
2021.04.07 08:23,1.187820,1.188040,1.187820,1.188030
2021.04.07 08:24,1.188020,1.188210,1.188010,1.188140
2021.04.07 08:25,1.188120,1.188220,1.187990,1.188000
2021.04.07 08:26,1.188000,1.188060,1.187960,1.188000
2021.04.07 08:27,1.187990,1.188040,1.187960,1.188020
2021.04.07 08:28,1.188060,1.188210,1.188030,1.188170
2021.04.07 08:29,1.188160,1.188170,1.188080,1.188150
2021.04.07 08:30,1.188150,1.188150,1.188020,1.188020
2021.04.07 08:31,1.188030,1.188070,1.187960,1.188000
2021.04.07 08:32,1.188010,1.188040,1.187940,1.187980
2021.04.07 08:33,1.187970,1.187980,1.187920,1.187970
2021.04.07 08:34,1.188000,1.188320,1.188000,1.188150
2021.04.07 08:35,1.188150,1.188330,1.188140,1.188270
2021.04.07 08:36,1.188250,1.188260,1.188060,1.188170
2021.04.07 08:37,1.188150,1.188150,1.187860,1.187940
2021.04.07 08:38,1.187940,1.187940,1.187720,1.187850
2021.04.07 08:39,1.187870,1.188200,1.187820,1.188110
2021.04.07 08:40,1.188120,1.188180,1.187980,1.187980
2021.04.07 08:41,1.187980,1.188080,1.187980,1.188070
2021.04.07 08:42,1.188070,1.188160,1.188020,1.188080
2021.04.07 08:43,1.188080,1.188160,1.188010,1.188020
2021.04.07 08:44,1.188010,1.188200,1.187970,1.188180
2021.04.07 08:45,1.188170,1.188210,1.188070,1.188110
2021.04.07 08:46,1.188110,1.188130,1.188000,1.188000
2021.04.07 08:47,1.187990,1.188090,1.187990,1.188090
2021.04.07 08:48,1.188050,1.188080,1.187940,1.187940
2021.04.07 08:49,1.187970,1.187970,1.187870,1.187930
2021.04.07 08:50,1.187920,1.188130,1.187920,1.188130
2021.04.07 08:51,1.188120,1.188140,1.187830,1.187830
2021.04.07 08:52,1.187840,1.188250,1.187680,1.188240
2021.04.07 08:53,1.188230,1.188230,1.188120,1.188170
2021.04.07 08:54,1.188170,1.188270,1.188170,1.188230
2021.04.07 08:55,1.188240,1.188390,1.188240,1.188390
2021.04.07 08:56,1.188410,1.188440,1.188290,1.188380
2021.04.07 08:57,1.188390,1.188400,1.188270,1.188300
2021.04.07 08:58,1.188300,1.188410,1.188290,1.188400
2021.04.07 08:59,1.188400,1.188460,1.188300,1.188460
2021.04.07 09:00,1.188460,1.188570,1.188390,1.188510
2021.04.07 09:01,1.188510,1.188650,1.188510,1.188570
2021.04.07 09:02,1.188570,1.188700,1.188550,1.188610
2021.04.07 09:03,1.188630,1.188650,1.188390,1.188500
2021.04.07 09:04,1.188520,1.188680,1.188520,1.188580
2021.04.07 09:05,1.188560,1.188650,1.188520,1.188640
2021.04.07 09:06,1.188650,1.188660,1.188600,1.188660
2021.04.07 09:07,1.188650,1.188720,1.188600,1.188720
2021.04.07 09:08,1.188710,1.188750,1.188530,1.188550
2021.04.07 09:09,1.188540,1.188560,1.188440,1.188440
2021.04.07 09:10,1.188430,1.188550,1.188430,1.188440
2021.04.07 09:11,1.188450,1.188450,1.188330,1.188340
2021.04.07 09:12,1.188340,1.188450,1.188300,1.188450
2021.04.07 09:13,1.188440,1.188520,1.188440,1.188440
2021.04.07 09:14,1.188440,1.188580,1.188370,1.188580
2021.04.07 09:15,1.188570,1.188750,1.188540,1.188690
2021.04.07 09:16,1.188690,1.188720,1.188280,1.188290
2021.04.07 09:17,1.188300,1.188400,1.188220,1.188380
2021.04.07 09:18,1.188390,1.188430,1.188240,1.188280
2021.04.07 09:19,1.188290,1.188490,1.188290,1.188430
2021.04.07 09:20,1.188450,1.188540,1.188410,1.188490
2021.04.07 09:21,1.188460,1.188520,1.188440,1.188490
2021.04.07 09:22,1.188470,1.188510,1.188450,1.188490
2021.04.07 09:23,1.188490,1.188540,1.188490,1.188540
2021.04.07 09:24,1.188560,1.188640,1.188500,1.188580
2021.04.07 09:25,1.188580,1.188810,1.188580,1.188790
2021.04.07 09:26,1.188800,1.189330,1.188790,1.189300
2021.04.07 09:27,1.189270,1.189590,1.189240,1.189560
2021.04.07 09:28,1.189570,1.189790,1.189540,1.189690
2021.04.07 09:29,1.189670,1.189680,1.189440,1.189520
2021.04.07 09:30,1.189530,1.189630,1.189430,1.189560
2021.04.07 09:31,1.189550,1.189570,1.189430,1.189470
2021.04.07 09:32,1.189450,1.189570,1.189320,1.189390
2021.04.07 09:33,1.189400,1.189430,1.189190,1.189190
2021.04.07 09:34,1.189210,1.189210,1.188970,1.189040
2021.04.07 09:35,1.189050,1.189060,1.188940,1.189020
2021.04.07 09:36,1.188990,1.189030,1.188810,1.189030
2021.04.07 09:37,1.189050,1.189110,1.188880,1.188880
2021.04.07 09:38,1.188880,1.188880,1.188690,1.188780
2021.04.07 09:39,1.188760,1.188760,1.188380,1.188380
2021.04.07 09:40,1.188390,1.188510,1.188360,1.188440
2021.04.07 09:41,1.188450,1.188690,1.188430,1.188590
2021.04.07 09:42,1.188620,1.188920,1.188620,1.188880
2021.04.07 09:43,1.188880,1.188940,1.188800,1.188900
2021.04.07 09:44,1.188880,1.188880,1.188700,1.188760
2021.04.07 09:45,1.188750,1.188790,1.188630,1.188680
2021.04.07 09:46,1.188670,1.189000,1.188650,1.188990
2021.04.07 09:47,1.189000,1.189180,1.188850,1.189180
2021.04.07 09:48,1.189160,1.189220,1.189050,1.189200
2021.04.07 09:49,1.189190,1.189370,1.189170,1.189370
2021.04.07 09:50,1.189380,1.189390,1.189260,1.189350
2021.04.07 09:51,1.189350,1.189380,1.189150,1.189230
2021.04.07 09:52,1.189210,1.189360,1.189200,1.189350
2021.04.07 09:53,1.189360,1.189640,1.189360,1.189550
2021.04.07 09:54,1.189570,1.189640,1.189490,1.189500
2021.04.07 09:55,1.189510,1.189650,1.189510,1.189620
2021.04.07 09:56,1.189580,1.189670,1.189560,1.189660
2021.04.07 09:57,1.189660,1.189660,1.189370,1.189370
2021.04.07 09:58,1.189350,1.189450,1.189140,1.189180
2021.04.07 09:59,1.189200,1.189260,1.189130,1.189150
2021.04.07 10:00,1.189170,1.189190,1.188800,1.188830
2021.04.07 10:01,1.188850,1.189080,1.188790,1.189070
2021.04.07 10:02,1.189070,1.189110,1.188910,1.189060
2021.04.07 10:03,1.189080,1.189300,1.189010,1.189280
2021.04.07 10:04,1.189310,1.189610,1.189240,1.189610
2021.04.07 10:05,1.189600,1.189620,1.189340,1.189480
2021.04.07 10:06,1.189460,1.189480,1.189340,1.189450
2021.04.07 10:07,1.189430,1.189550,1.189380,1.189530
2021.04.07 10:08,1.189550,1.189560,1.189390,1.189390
2021.04.07 10:09,1.189390,1.189480,1.189370,1.189460
2021.04.07 10:10,1.189480,1.189490,1.189330,1.189450
2021.04.07 10:11,1.189450,1.190360,1.189450,1.190220
2021.04.07 10:12,1.190220,1.190290,1.190000,1.190060
2021.04.07 10:13,1.190070,1.190100,1.189690,1.189930
2021.04.07 10:14,1.189950,1.190000,1.189820,1.189970
2021.04.07 10:15,1.189980,1.189980,1.189440,1.189520
2021.04.07 10:16,1.189500,1.189940,1.189460,1.189900
2021.04.07 10:17,1.189930,1.190070,1.189900,1.190010
2021.04.07 10:18,1.190000,1.190060,1.190000,1.190010
2021.04.07 10:19,1.190010,1.190060,1.189900,1.189960
2021.04.07 10:20,1.189970,1.190270,1.189940,1.190240
2021.04.07 10:21,1.190230,1.190320,1.190210,1.190290
2021.04.07 10:22,1.190300,1.190300,1.190020,1.190110
2021.04.07 10:23,1.190100,1.190240,1.190010,1.190210
2021.04.07 10:24,1.190220,1.190340,1.190170,1.190320
2021.04.07 10:25,1.190320,1.190330,1.190100,1.190300
2021.04.07 10:26,1.190320,1.190380,1.190310,1.190380
2021.04.07 10:27,1.190370,1.190930,1.190310,1.190910
2021.04.07 10:28,1.190910,1.190980,1.190740,1.190910
2021.04.07 10:29,1.190920,1.190920,1.190700,1.190750
2021.04.07 10:30,1.190740,1.190750,1.190470,1.190590
2021.04.07 10:31,1.190590,1.190650,1.190510,1.190540
2021.04.07 10:32,1.190520,1.190570,1.190410,1.190410
2021.04.07 10:33,1.190390,1.190510,1.190280,1.190500
2021.04.07 10:34,1.190510,1.190560,1.190300,1.190320
2021.04.07 10:35,1.190330,1.190330,1.190180,1.190290
2021.04.07 10:36,1.190280,1.190450,1.190230,1.190370
2021.04.07 10:37,1.190380,1.190620,1.190380,1.190480
2021.04.07 10:38,1.190470,1.190820,1.190430,1.190790
2021.04.07 10:39,1.190800,1.190960,1.190700,1.190770
2021.04.07 10:40,1.190760,1.190800,1.190570,1.190570
2021.04.07 10:41,1.190590,1.190830,1.190570,1.190780
2021.04.07 10:42,1.190770,1.190840,1.190730,1.190760
2021.04.07 10:43,1.190770,1.190860,1.190730,1.190860
2021.04.07 10:44,1.190860,1.191470,1.190860,1.191340
2021.04.07 10:45,1.191370,1.191370,1.191190,1.191350
2021.04.07 10:46,1.191290,1.191460,1.191280,1.191290
2021.04.07 10:47,1.191260,1.191280,1.190900,1.190960
2021.04.07 10:48,1.190950,1.191110,1.190920,1.191040
2021.04.07 10:49,1.191020,1.191160,1.190760,1.190810
2021.04.07 10:50,1.190850,1.190870,1.190650,1.190780
2021.04.07 10:51,1.190790,1.190800,1.190620,1.190690
2021.04.07 10:52,1.190680,1.190770,1.190600,1.190600
2021.04.07 10:53,1.190590,1.190660,1.190450,1.190630
2021.04.07 10:54,1.190630,1.190830,1.190600,1.190690
2021.04.07 10:55,1.190680,1.190680,1.189980,1.189980
2021.04.07 10:56,1.190000,1.190130,1.189760,1.189870
2021.04.07 10:57,1.189870,1.190010,1.189650,1.189650
2021.04.07 10:58,1.189640,1.190050,1.189620,1.189960
2021.04.07 10:59,1.189970,1.190280,1.189940,1.190060
2021.04.07 11:00,1.190040,1.190250,1.190020,1.190020
2021.04.07 11:01,1.190030,1.190120,1.189970,1.190010
2021.04.07 11:02,1.190030,1.190250,1.189980,1.190040
2021.04.07 11:03,1.190050,1.190140,1.189820,1.189850
2021.04.07 11:04,1.189850,1.189870,1.189520,1.189520
2021.04.07 11:05,1.189520,1.189930,1.189520,1.189830
2021.04.07 11:06,1.189810,1.189900,1.189740,1.189760
2021.04.07 11:07,1.189750,1.189750,1.189360,1.189440
2021.04.07 11:08,1.189460,1.189460,1.189100,1.189240
2021.04.07 11:09,1.189260,1.189660,1.189260,1.189560
2021.04.07 11:10,1.189570,1.189760,1.189570,1.189720
2021.04.07 11:11,1.189730,1.189800,1.189680,1.189800
2021.04.07 11:12,1.189780,1.190030,1.189760,1.190010
2021.04.07 11:13,1.190040,1.190350,1.190040,1.190290
2021.04.07 11:14,1.190260,1.190270,1.190150,1.190180
2021.04.07 11:15,1.190180,1.190210,1.190050,1.190070
2021.04.07 11:16,1.190060,1.190060,1.189800,1.189800
2021.04.07 11:17,1.189820,1.190080,1.189810,1.189970
2021.04.07 11:18,1.189980,1.190050,1.189860,1.189990
2021.04.07 11:19,1.189990,1.190120,1.189960,1.189970
2021.04.07 11:20,1.189960,1.189970,1.189740,1.189750
2021.04.07 11:21,1.189760,1.189850,1.189710,1.189810
2021.04.07 11:22,1.189820,1.189830,1.189710,1.189710
2021.04.07 11:23,1.189720,1.189730,1.189590,1.189620
2021.04.07 11:24,1.189610,1.189610,1.189310,1.189310
2021.04.07 11:25,1.189310,1.189410,1.189190,1.189210
2021.04.07 11:26,1.189210,1.189270,1.189080,1.189080
2021.04.07 11:27,1.189090,1.189290,1.189060,1.189260
2021.04.07 11:28,1.189280,1.189280,1.188960,1.189140
